Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[7.3822284, -0.17706452, -6.115536]",../p02_2013-12-03/2013-12-03_11.14.29.jpg,ZTE-BLADE,['planetarium'],,26.47577443,,2002:12:08 12:00:00,"['#e0dcee', '#7b6f6b', '#9a8d95', '#625b59', '#413e33']",[],,11:14:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.913422, -1.253072, -5.3936577]",../p02_2013-12-03/2013-12-03_11.56.30.jpg,ZTE-BLADE,[],,4.671522245,,2002:12:08 12:00:00,"['#53565a', '#3d3f43', '#9f96a2', '#fcfafb', '#6c7482']",[],,11:56:30,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[3.7728362, 1.7978859, -1.253072]",../p02_2013-12-03/2013-12-03_10.50.32.jpg,ZTE-BLADE,[],,13.46682899,,2002:12:08 12:00:00,"['#868b91', '#f7efdf', '#c1c3be', '#717679', '#9fa0a1']",[],,10:50:32,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
['Male'],"[8.825985, -0.53119355, -3.4187074]",../p02_2013-12-03/2013-12-03_11.27.30.jpg,ZTE-BLADE,[],['25-32'],195.1077035,['Fear'],2002:12:08 12:00:00,"['#aca7ac', '#615852', '#7c7474', '#261b1a', '#e2edf8']","['person', 'person']",,11:27:30,"[array([-0.01387607,  0.01907102,  0.15599608, -0.09061024, -0.1427578 ,
       -0.02846848, -0.00445181, -0.1081888 ,  0.15030195, -0.15887469,
        0.13587126, -0.11339092, -0.13055086,  0.08353657, -0.08488085,
        0.13395748, -0.10262337, -0.16659503, -0.03135629, -0.06200574,
        0.05234199,  0.1281665 ,  0.00283842,  0.08451348, -0.10034838,
       -0.29846612, -0.07962489, -0.00051298,  0.11406177, -0.04434312,
       -0.00660411,  0.16023639, -0.21520337, -0.00182639,  0.02295209,
        0.11254732, -0.04301391, -0.11287783,  0.23461704,  0.03402332,
       -0.24927089,  0.0836511 ,  0.10675956,  0.30782297,  0.19121003,
       -0.05771675,  0.00633682, -0.05421466,  0.09776843, -0.27023038,
       -0.01802112,  0.16137195,  0.13114688,  0.07076967,  0.03276266,
       -0.09134819,  0.00117784,  0.15945184, -0.20622274,  0.11464632,
        0.08006789, -0.1157359 ,  0.0622457 , -0.0924717 ,  0.18932563,
        0.03089026, -0.10575797, -0.1311399 ,  0.15832825, -0.18388404,
       -0.07038088,  0.10953315, -0.11343612, -0.12854028, -0.25417531,
        0.02734823,  0.37302533,  0.16350141, -0.14302285,  0.10195014,
       -0.04427385,  0.01713939,  0.03776107,  0.14331748,  0.00520384,
       -0.0039115 , -0.06264614,  0.06670601,  0.20362309, -0.04595933,
       -0.00973796,  0.24291275,  0.05336262, -0.0040965 , -0.0359843 ,
        0.06830568, -0.12738639, -0.0033518 , -0.18622772,  0.00784931,
       -0.08263222,  0.0320517 ,  0.04273429,  0.18153185, -0.19974627,
        0.2014471 , -0.05752884, -0.09062104, -0.01074923,  0.03790179,
       -0.01700501, -0.05063291,  0.09337758, -0.27317321,  0.06973758,
        0.1583938 ,  0.01243878,  0.1421036 ,  0.03652036,  0.06478031,
        0.04981405, -0.03233852, -0.12769064, -0.08118886,  0.05763939,
       -0.03082628,  0.01861832,  0.06259318])]",03/12/2013,ZTE,1,"[0.0, 0.0]"
['Female'],"[9.180115, 1.253072, -2.3290794]",../p02_2013-12-03/2013-12-03_11.44.30.jpg,ZTE-BLADE,[],['38-43'],29.76977753,['Surprise'],2002:12:08 12:00:00,"['#709aa8', '#f7f6f8', '#826d68', '#301d21', '#6c524d']",['person'],,11:44:30,"[array([-0.15385273,  0.08673269, -0.00505515, -0.09845516, -0.17796069,
       -0.07433217,  0.06233652, -0.1113535 ,  0.13823566, -0.07849   ,
        0.09299655, -0.08480489, -0.24592623,  0.05274666, -0.03273598,
        0.1314048 , -0.1957915 , -0.07866079, -0.12366788, -0.18605697,
       -0.01156081,  0.03377388, -0.08951437,  0.05742423, -0.08170819,
       -0.2093332 , -0.10726077, -0.08804937,  0.01896436, -0.05899696,
        0.05717755,  0.03075111, -0.16218635, -0.07717852, -0.00150956,
       -0.06626588, -0.15055312, -0.0869479 ,  0.20732903,  0.01321519,
       -0.10431409, -0.05265553,  0.0831271 ,  0.2751134 ,  0.1435605 ,
        0.01069098,  0.00397526, -0.09119693,  0.16886735, -0.20069796,
        0.06440328,  0.13993782,  0.15214932,  0.08155439,  0.10669085,
       -0.14789557,  0.07936281,  0.13382827, -0.19926089,  0.07786078,
        0.14232238, -0.07674081, -0.03392376, -0.02022551,  0.20875911,
        0.10587886, -0.03362347, -0.0950149 ,  0.24929589, -0.1193677 ,
       -0.03885465,  0.00715245, -0.06328706, -0.19182441, -0.21533996,
        0.06554888,  0.3195504 ,  0.18058456, -0.11614645, -0.04748391,
       -0.06074919, -0.01967329,  0.14851783,  0.01449979, -0.19473872,
       -0.09117626, -0.06186109,  0.07950876,  0.171582  , -0.03770922,
       -0.0373736 ,  0.21288151,  0.08516088, -0.1048973 ,  0.0361998 ,
       -0.02016144, -0.1371659 ,  0.01103502, -0.08761871,  0.01570394,
        0.1551778 , -0.12766661,  0.03222233,  0.1432813 , -0.15905336,
        0.16505   , -0.00869671, -0.03785483, -0.13663116, -0.07656042,
       -0.12562738,  0.03552596,  0.15625322, -0.14746621,  0.18150277,
        0.08765537, -0.05596525,  0.12971532,  0.00925866,  0.01870012,
       -0.02110869, -0.08745494, -0.14306968, -0.05305546,  0.15393634,
        0.0049361 ,  0.06906895,  0.05818273])]",03/12/2013,ZTE,1,"[0.0, 0.0]"
,"[7.559293, 2.3290794, -6.2926006]",../p02_2013-12-03/2013-12-03_12.01.00.jpg,ZTE-BLADE,[],,3.998670255,,2002:12:08 12:00:00,"['#39373d', '#110e0e', '#555458', '#86837f', '#6e6e6f']",[],,12:01:00,[],03/12/2013,ZTE,0,"[54.68842429, -5.8813011699999995]"
['Male'],"[9.357179, 0.89894295, -2.3290794]",../p02_2013-12-03/2013-12-03_11.43.29.jpg,ZTE-BLADE,[],['38-43'],45.71945524,['Surprise'],2002:12:08 12:00:00,"['#74a3af', '#212022', '#7e6b66', '#633e3d', '#e7e9f0']",['person'],,11:43:29,"[array([-0.14794813,  0.11126766, -0.00998139, -0.07719497, -0.15017498,
       -0.044844  ,  0.08081055, -0.10678752,  0.13290244, -0.07354195,
        0.10505063, -0.09673746, -0.22496705,  0.0342018 , -0.05802506,
        0.13907191, -0.17244135, -0.05945349, -0.14701059, -0.16564892,
       -0.01418821,  0.03420999, -0.06448786,  0.06386647, -0.08807269,
       -0.22367495, -0.09381022, -0.09388587,  0.00068594, -0.06851308,
        0.06883511,  0.04297358, -0.1532599 , -0.05724854, -0.01176462,
       -0.03137195, -0.13637091, -0.074198  ,  0.1910046 , -0.00627693,
       -0.12043507, -0.02137418,  0.043763  ,  0.29402363,  0.15159269,
        0.00367386, -0.00605175, -0.10813786,  0.1648695 , -0.20652106,
        0.07424922,  0.1063421 ,  0.14648652,  0.06315602,  0.08014373,
       -0.12151988,  0.06069474,  0.15544316, -0.21634473,  0.04728666,
        0.10053477, -0.09004848, -0.0432131 , -0.03505386,  0.17117111,
        0.13941999, -0.04399689, -0.09769739,  0.24256836, -0.13501641,
       -0.01515685,  0.01536419, -0.04114273, -0.22094032, -0.22667502,
        0.09333491,  0.34557232,  0.21424201, -0.13581142, -0.05878384,
       -0.05824951,  0.00649472,  0.15020765,  0.02994375, -0.19668168,
       -0.09136122, -0.06607126,  0.08457082,  0.1553726 , -0.05593283,
       -0.07612106,  0.21048436,  0.06533354, -0.10483228,  0.02002072,
       -0.02512792, -0.13208355,  0.04780611, -0.09785813,  0.00798408,
        0.16733609, -0.10593343,  0.03210605,  0.12905861, -0.16001524,
        0.18792076, -0.01112458, -0.04196828, -0.08650539, -0.07721711,
       -0.12045172,  0.04212502,  0.18044406, -0.15919483,  0.17747371,
        0.08948718, -0.05708507,  0.16697092,  0.04795259,  0.03603929,
        0.00172398, -0.09233996, -0.15987092, -0.0427441 ,  0.191513  ,
        0.01738419,  0.08736809,  0.04163997])]",03/12/2013,ZTE,1,"[0.0, 0.0]"
,"[4.862464, 0.35412905, -2.6968288]",../p02_2013-12-03/2013-12-03_11.59.59.jpg,ZTE-BLADE,[],,9.681761924,,2002:12:08 12:00:00,"['#b3a69e', '#2c2c31', '#454a53', '#7e7f82', '#5a595e']",[],,11:59:59,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.281172, -0.17706452, -4.671779]",../p02_2013-12-03/2013-12-03_11.24.59.jpg,ZTE-BLADE,[],,28.40770647,,2002:12:08 12:00:00,"['#7a7475', '#201a1d', '#f5f4f3', '#605c59', '#a8a1a1']",[],hisses E i asnananeeon,11:24:59,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.357179, -0.53119355, -1.7978859]",../p02_2013-12-03/2013-12-03_12.11.29.jpg,ZTE-BLADE,[],,21.87410211,,2002:12:08 12:00:00,"['#b6a094', '#231e21', '#f2e9e7', '#50698f', '#7b6657']","['tv', 'tv']",fs enee i tou Boao et Benenfs free ; Pr oeent weFme 4 ‘ j HIM igs aaag8 °F eee,12:11:29,[],03/12/2013,ZTE,0,"[54.6783189, -5.9125666]"
